1966.0,2007-08-14,,,,,
true,Revenus,salaire,2875.0,2007-08-01,2009-08-06,2-1
true,Appartement Grenoble,loyer sophie,200.0,2007-08-04,2009-08-06,2-1
true,Bouffe,repas soir,-10.0,2007-08-06,2009-08-06,5-1
true,Appartement Grenoble,free,-30.0,2007-08-14,2009-08-06,2-1
true,Appartement Toulouse,emprunt,-450.0,2007-08-05,2009-08-06,2-1
true,Impots,taxe foncière,-79.0,2007-08-16,2009-08-06,2-1
true,Impots,taxe habitation,-800.0,2007-11-15,2009-11-15,1-1
true,Impots,impots,-156.0,2007-08-16,2009-08-06,2-1
true,Appartement Toulouse,Foncia charges appart,-80.96,2007-08-16,2009-08-06,2-1
true,Telephone,sfr,-40.0,2007-08-15,2009-08-06,2-1
true,Appartement Grenoble,edf,-43.0,2007-08-14,2009-08-14,2-1
true,Voiture,essence,-50.0,2007-08-06,2009-08-06,2-2
true,Appartement Grenoble,loyer,-700.0,2007-08-10,2009-08-10,2-1
true,Hi-fi,Ecran plat,-1500.0,2007-10-03,2007-10-03,5-0
true,Loisirs,habit,-40.0,2007-08-07,2009-08-07,4-2
true,Appartement Toulouse,charges appart,-252.0,2007-08-16,2007-08-16,5-0
true,Appartement Grenoble,gaz,-40.0,2007-08-07,2008-08-07,2-6
true,Voiture,Voyage week end,-40.0,2007-08-10,2008-08-10,4-2
true,Loisirs,sortie,-40.0,2007-08-10,2008-08-10,4-2
true,Loisirs,Ski,-50.0,2007-12-20,2008-04-15,4-2
true,Revenus,prime de fin d'annee,2000.0,2007-12-31,2007-12-31,5-0
true,Bouffe,repas midi,-5.0,2007-08-13,2008-08-13,5-1
true,Voiture,entretien clio,-100.0,2007-08-13,2008-08-13,2-2
